Glosa,INF activo,IMP activo,REM activo,REC activo,IMP medio,REM medio,verb type
caminar/ir,shkö́k,shkö̀,shka',shké,shkàr,shkàne̠,i.o.r
cantar,tsö́k,tsö̀,tsë',tsé,tsë̀r,tsë̀ne̠,i.o.r
cantar,stsö́k,stsö̀,stsë',stsé,stsë̀r,stsë̀ne̠,i.o.r
comer1,chkö́k,chkö̀,chka',chké,chkàr,chkàne̠,i.o.r
dormir,kapö́k,kapö̀,kapë',kapé,kapë̀r,kapë̀ne̠,i.o.r
bañarse,akuö́k,akuö̀,úk,akué,aùr,aùne̠,i.o.i
hablar,ujtö́k,ujtö̀,út,ujté,ujtë̀r,ujtë̀ne̠,i.o.i
correr,tú̠nuk,tú̠nù,tú̠ne̠',tú̠nú,tú̠r,tú̠ne̠,i.n.r
descansar,é̠nuk,é̠nù,e̠ne',é̠nú,é̠r,é̠ne̠,i.n.r
gritar,ku̠lù̠k,ku̠lù̠,ku̠lú̠,ku̠lú̠,ku̠lù̠r,ku̠lù̠ne̠,i.n.r
jugar,i̠nù̠k,i̠nù̠,i̠ni̠',i̠nú̠,i̠nì̠r,i̠nì̠ne̠,i.n.r
llorar,i̠ù̠k,i̠ù̠,i̠i̠',i̠ú̠,i̠ì̠r,i̠ì̠ne̠,i.n.r
reír,ja̠ñùk,ja̠ñù,ja̠ñi',ja̠ñú,ja̠ñìr,ja̠ñìne̠,i.n.r
reír,a̠ñùk,a̠ñù,a̠ñi',a̠ñú,a̠ñìr,a̠ñìne̠,i.n.r
volar,ú̠nuk,ú̠nù,u̠ne',ú̠nú,ú̠r,ú̠ne̠,i.n.r
bailar,klö̀tök,klö̀tö,klö̀të',klétö,klö̀tër,klö̀të̀ne̠,i.o.o
bailar dulë̀,dulë̀tök,dulë̀tö,dulë̀të',,dulë̀tër,dulë̀të̀ne̠,i.o.o
bailar sorbón,bùliklök,bùliklö̀,bùlirík,bùliklé,bùlirìr,bùlilìne̠,i.o.o
barrer,ùshiklök,ùshiklö̀,ùshiri',ùshiklé,ùshirir,ùshirìne̠,i.o.o
casarse,ulàbatsök,ulàbatsö̀,ulàbáts,ulàbatsé,,ulàbátse̠,i.o.o
cazar/montear,yë́blök,yë́blö̀,yë́blë',yë́blé,yë́blër,yë́blëne̠,i.o.o
cocinar,ù̠alök,ù̠alö,ù̠ali',,ù̠alir,ù̠alìne̠,i.o.o
conversar,kó̠pàkök,kó̠pàkö,kó̠pàka',,kó̠pàkar,kó̠pàkàne̠,i.o.o
defecar,ñáwök,ñáwö,ñáu',,ñáur,ñáùne̠,i.o.o
gustar de X3,wö̀batsök,wö̀batsö̀,wö̀báts,wö̀batsé,,wö̀batse̠,i.o.o
hacer mal agüero a X4,wò̠yökblök,wò̠yökblö̀,wò̠yökblë',wò̠yökblé,wò̠yökblër,wò̠yökblë̀ne̠,i.o.o
pasear,úapàkök,úapàkö,úapàka',,úapàkar,úapàkàne̠,i.o.o
pensar,é̠nbikök,é̠nbikö̀,é̠nbík,é̠nbiké,é̠nbikìr,é̠nbikìne̠,i.o.o
rezar,sibö̀chök,sibö̀chö,sibö̀yë',sibéchö,sibö̀yër,sibö̀yë̀ne̠,i.o.o
suplicar,ajkö̀chök,ajkö̀chö,ajkö̀yë',ajkéchö,ajkö̀yër,ajkö̀yë̀ne̠,i.o.o
trabajar,ka̠nèbalök,ka̠nèbalö,ka̠nè̠balë',ka̠nébalö,ka̠nèbalër,ka̠nèbalë̀ne̠,i.o.o
estudiar,e̠' yawök,e̠' yawö,e̠' yö',,e̠' yö̀r,e̠' yö̀ne̠,i.o.pr 
pelear,a̠ñì ppök,a̠ñì ppö,a̠ñì buk,,a̠ñì bur,a̠ñì bùne̠,i.o.pr 
acostarse,e̠' tö́kwa̠,e̠' tèwa̠,e̠' të'wa̠,e̠' téwa̠,,e̠' të̀nè̠wa̠,i.o.d
despedirse,e̠' chö́ka̠t,e̠' chèa̠t,e̠' yë'a̠t,e̠' chéa̠t,,e̠' yène̠a̠t,i.o.d 
detenerse,e̠' dawö́kdö,e̠' dawèdö,e̠' dúdö,e̠' dawédö,,,i.o.d
levantarse/ponerse a hacer algo,e̠' kö́kka̠,e̠' kèka̠,e̠' ka'ka̠,e̠' kéka̠,,e̠' kànè̠ka̠,i.o.d 
meterse,e̠' tiö́kwa̠,e̠' tiö̀wa̠,e̠' tiéwa̠,e̠' tiéwa̠,,,i.o.d 
salir/salirse,e̠' yö́ktsa̠,e̠' yö́tsa̠,e̠' yë́tsa̠,,,,i.o.d
salir/salirse,e̠' yö́kstsa̠,e̠' yö́stsa̠,e̠' yë́stsa̠,,,,i.o.d 
sentarse,e̠' tchö́kdë,e̠' tchèdë,e̠' tchë'dë,e̠' tchédë,,,i.o.d
beber,yö́k,yè,ya',yé,yàr,yàne̠,t.o.r
buscar,yulö́k,yulè,yulö',yulé,yulö̀r,yulö̀ne̠,t.o.r
cocinar,alö́k,alè,ali',alé,alìr,alìne̠,t.o.r
comer (cosas duras),katö́k,katè,kata',katé,katàr,katàne̠,t.o.r
contar/narrar/visitar,apàkök,apàkè,apàka',apàké,apàkàr,apàkàne̠,t.o.r
cortar/golpear (con obj. redondo),tö́k,tè,të',té,të̀r,të̀ne̠,t.o.r
echar/poner,iö́k,iè,ië',ié,ië̀r,ië̀ne̠,t.o.r
escuchar/oír/sentir,tsö́k,tsè,tsë',tsé,tsë̀r,tsë̀ne̠,t.o.r
escuchar/oír/sentir,stsö́k,stsè,stsë',stsé,stsë̀r,stsë̀ne̠,t.o.r
guardar/esconder/enterrar,blö́k,blè,blë',blé,blë̀r,blë̀ne̠,t.o.r
hacer,wámblök,wámblè,wámblë',wámblé,wámblë̀r,wámblë̀ne̠,t.o.r
hacer,wámbalök,wámbalè,wámbalë',wámbalé,wámbalë̀r,wámbalë̀ne̠,t.o.r
moler,wö́k,wè,u',wé,ùr,ùne̠,t.o.r
morder,kuö́k,kuè,kö',kué,kö̀r,kö̀ne̠,t.o.i
ofrecer,wàtchök,wàtchè,wàtchë',wàtché,wàtchë̀r,wàtchë̀ne̠,t.o.r
pedir/llamar,kiö́k,kiè,ki',kié,kìr,kìne̠,t.o.r
preguntar,ichàkök,ichàkè,ichàka',ichàké,ichàkàr,ichàkàne̠,t.o.r
punzar/clavar/rajar,tchö́k,tchè,tchë',tché,tchë̀r,tchë̀ne̠,t.o.r
punzar/clavar/rajar,tkö́k,tkö̀,tkë',tké,tkë̀r,tkë̀ne̠,t.o.r
remojar,apàlök,apàlè,apàli',apàlé,apàlìr,apàlìne̠,t.o.r
responder,i̠ù̠tök,i̠ù̠tè,i̠ù̠të',i̠ù̠té,i̠ù̠të̀r,i̠ù̠të̀ne̠,t.o.r
tocar,kö́k,kè,ka',ké,kàr,kàne̠,t.o.r
transportar/dejar caer,ö́k,è,a',é,àr,àne̠,t.o.r
adherir,batsö́k,batsè,báts,batsé,,bàtse̠,t.o.i
alimentar,tiök,,dë',,,,t.o.i 
decir,chö́k,chè,yë́,ché,yë̀r,yë̀ne̠,t.o.i 
fumar,sawö́k,sawè,su',sawé,sùr,sùne̠,t.o.i
golpear (con algo alargado),ppö́k,ppè,búk,ppé,bùr,bùne̠,t.o.i
hacer/construir,yawö́k,yawè,yö',yawé,yö̀r,yö̀ne̠,t.o.i
lavar,skuö́k,skuè,súk,skué,sùr,sùne̠,t.o.i
leer,ò̠rtsök,ò̠rsè,ò̠rits,ò̠rsé,ò̠rir,ò̠rine̠,t.o.i
leer,à̠ritsök,à̠ritsè,à̠ríts,à̠ritsé,à̠rìr,à̠rìne̠,t.o.i
limpiar,iklö́k,iklè,irík,iklé,irìr,irìne̠,t.o.i
matar,ttö́k,ttè,kö́t,tté,,kö́te̠,t.o.i
pensar,bikéitsök,bikéitsè,bikéits,bikéitsé,bikéìr,bikéìtse̠,t.o.i
prestar,apéitök,apéitè,apéít,apéité,,apéìte̠,t.o.i
quitar/apartar,skö́k,skè,sík,ské,sír,síne̠,t.o.i
recoger/escribir/dibujar,shtö́k,shtè,kít,shté,kír,kíte̠,t.o.i
soplar,wö̀ikök,wö̀ikè,wö'ik,wö̀iké,wö̀ikìr,wö̀ikìne̠,t.o.i
tostar/asar,kuö́k,kuè,katu',kué,katùr,katùne̠,t.o.i
agarrar,klö̀ú̠k,klö̀wè̠,klö̀o̠',klö̀wé̠,klö̀o̠r,klö̀ò̠ne̠,t.n.r
amarrar,moú̠k,mowè̠,mo',mowé̠,mòr,mòne̠,t.n.r
amarrar,mòú̠k,mòwè̠,mò',mòwé̠,mòr,mòne̠,t.n.r
amarrar,ma̠u̠k,ma̠wè̠,ma̠',ma̠wé̠,ma̠r,ma̠ne̠,t.n.r
ayudar,kímuk,kímè,kíme',kímé,kímèr,kíamène̠,t.n.r
ayudar,kímu̠k,kimè̠,kíme̠',kímé̠,kía̠mè̠r,kía̠mè̠ne̠,t.n.r
vaciar,ká̠u̠k,ká̠wè̠,ká̠',ká̠wé̠,ká̠r,ká̠ne̠,t.n.r
cambiar/transformar,manèú̠k,manèwè̠,manèa̠',manèwé̠,manèa̠r,manèà̠ne̠,t.n.r
cansar (causat.),ishtrìú̠k,ishtrìwè̠,ishtrìo̠',ishtrìwé̠,ishtrìo̠r,ishtrìò̠ne̠,t.n.r
comer (vegetales suaves),ñú̠k,ñè̠,ña̠',ñé̠,ñà̠r,ñà̠ne̠,t.n.r
cuidar,kö́nuk,kö́nè,kö́ne',kö́né,kö́nèr,kö́nène̠,t.n.r
cuidar,ajkö́nuk,ajkö́nè,ajkö́ne',ajkö́né,ajkö́nèr,ajkö́nène̠,t.n.r
dar,a̠mùk,a̠mè,a̠me',a̠mé,a̠mèr,a̠mène̠,t.n.r
encontrar/jalar,kù̠k,kè̠,kú̠,ké̠,kù̠r,kù̠ne̠,t.n.r
esperar,kínuk,kínè,kíne',kíné,kínèr,kínène̠,t.n.r
esperar,apánuk,apánè,apáne',apáné,apánèr,apánène̠,t.n.r
hacer/afectar,ù̠k,wè̠,o̠',wé̠,ò̠n,ò̠ne̠,t.n.r
molestar (caus.),tsirìk,tsirìwè̠,tsirìo̠',tsirìwé̠,tsirìò̠r,tsirìò̠̀ne̠,t.n.r
perder (caus.),chö̀ú̠k,chö̀wè̠,chö̀o̠',chö̀wé̠,chö̀o̠r,chö̀ò̠ne̠,t.n.r
pintar,tàú̠k,tawè̠,tàa̠',tawé̠,tàà̠r,tàà̠ne̠,t.n.r
repetir/practicar/imitar,mòú̠k,mòwè̠,mòo̠',mòwé̠,mòò̠r,mòò̠ne̠,t.n.r
repetir/practicar/imitar,a̠mòú̠k,amòwè̠,a̠mòa̠',amòwé̠,amòò̠r,amòò̠ne̠,t.n.r
saludar/despertar a alguien,shkè̠ú̠k,shkè̠wé̠,shkè̠o̠',shké̠wé̠,shkè̠ò̠r,shkè̠ò̠ne̠,t.n.r
traer,tsù̠k,tsè̠,tse̠',tsé̠,tsè̠r,tsè̠ne̠,t.n.r
amenazar,apáu̠nuk,apáu̠nè,apáwi̠',apáu̠né,apáwì̠r,apáwì̠ne̠,t.n.i
comprar,ta̠ú̠k,ta̠wè̠,tó̠,ta̠wé̠,tò̠r,tò̠ne̠,t.n.i
ver,sá̠ú̠k,sa̠wè̠,sú̠,sa̠wé̠,sù̠r,sù̠ne̠,t.n.i
escarbar/rascar,apàbiök,apàbiè,apàbi',apàbé,apàbìr,apàbìne̠,t.o.c
