ID	Source	Change	Target
Maya0119	Tene' áak'ab kin bin merkaado	TYPE:NEG	Tene' ma' áak'ab kin bin merkaadoi'
Maya0120	Tene' áak'ab kin bin merkaado	SUBTYPE:INT	Tene' áak'ab wáaj kin bin merkaado
Maya0317	Ko'one'ex ich kool	PERSON:1_PL	Ko'ox ich kool
Maya0620	Táan a bine'ex ich kool	TYPE:NEG	Ma' táan a bine'ex ich kooli'
Maya0621	Táan a bine'ex ich kool	SUBTYPE:INT	Táan wáaj a bine'ex ich kool
Maya0618	Táan u bino'ob ich kool	TYPE:NEG	Ma' táan u bino'ob ich kooli'
Maya0619	Táan u bino'ob ich kool	SUBTYPE:INT	Táan wáaj u bino'ob ich kool
Maya0289	Ma' táan in bin ich kooli'	PERSON:2_SI	Ma' táan a bin ich kooli'
Maya0290	Ma' táan in bin ich kooli'	PERSON:3_SI	Ma' táan u bin ich kooli'
Maya0291	Ma' táan in bin ich kooli'	PERSON:3_PL	Ma' táan u bino'ob ich kooli'
Maya0292	Ma' táan in bin ich kooli'	PERSON:2_PL	Ma' táan a bine'ex ich kooli'
Maya0293	Ma' táan in bin ich kooli'	PERSON:1_PL	Ma' táan k bin ich kooli'
Maya0075	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_SI	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol
Maya0076	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_PL	Jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol
Maya0077	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:2_PL	Jaypéel k'iino'ob ka bine'ex tu k'íiwikil koonol
Maya0258	Tin konaj in wotoch	PERSON:2_SI	Ta konaj a wotoch
Maya0594	Te' in taal tu kaajil Kopomae'	PERSON:2_SI	Te' a taal tu kaajil Kopomae'
Maya0595	Te' in taal tu kaajil Kopomae'	PERSON:3_SI	Te' u taal tu kaajil Kopomae'
Maya0596	Te' in taal tu kaajil Kopomae'	PERSON:1_PL	Te' k taal tu kaajil Kopomae'
Maya0597	Te' in taal tu kaajil Kopomae'	PERSON:2_PL	Te' a taale'ex tu kaajil Kopomae'
Maya0598	Te' in taal tu kaajil Kopomae'	PERSON:3_PL	Te' u taalo'ob tu kaajil Kopomae'
Maya0131	Ki'imak a wóol a bin tu k'íiwikil koonol	SUBTYPE:INT	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol
Maya0475	Teche' ma' jbúulech wáaj	PERSON:3_SI	Leti'e' ma' jbúul wáaj
Maya0476	Teche' ma' jbúulech wáaj	PERSON:1_PL	To'one' ma' jbúulo'on wáaj
Maya0477	Teche' ma' jbúulech wáaj	PERSON:2_PL	Te'exe' ma' jbúule'ex wáaj
Maya0062	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:2_SI	Ma' tin wilikech tu k'íiwikil koonol
Maya0063	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:2_SI	Ma' ta wiliken tu k'íiwikil koonol
Maya0064	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:3_PL	Ma' tin wiliko'ob tu k'íiwikil koonol
Maya0065	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wiliken tu k'íiwikil koonol
Maya0441	Ma' tin wu'uyik ooxoli'	PERSON:2_SI	Ma' ta wu'uyik ooxoli'
Maya0442	Ma' tin wu'uyik ooxoli'	PERSON:3_SI	Ma' tu yu'ubik ooxoli'
Maya0443	Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Maya0444	Ma' tin wu'uyik ooxoli'	PERSON:2_PL	Ma' ta wu'uyike'ex ooxoli'
Maya0445	Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Maya0116	Jach k'a'abéet in bin merkaado	TYPE:NEG	Ma' jach k'a'abéet in bin merkaadoi'
Maya0117	Jach k'a'abéet in bin merkaado	SUBTYPE:INT	Jach wáaj k'a'abéet in bin merkaado
Maya0123	Táan u bin koonol tu k'íiwikil koonol	TYPE:NEG	Ma' táan u bin koonol tu k'íiwikil koonoli'
Maya0124	Táan u bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj u bin koonol tu k'íiwikil koonol
Maya0007	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Yaan wáaj a bin koonol tu k'íiwikil koonol
Maya0008	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Maya0009	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Maya0010	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Maya0011	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Maya0012	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol
Maya0013	Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Yaan wáaj k bin koonol tu k'íiwikil koonol
Maya0181	Ma' tin wilikech merkaado	PERSON:2_SI	Ma' ta wiliken merkaado
Maya0646	Ma' ta wu'uyik ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Ka wu'uyik wáaj ooxol
Maya0646a	Ma' ta wu'uyik ooxoli'	TYPE:AFF	Ka wu'uyik ooxol
Maya0646a	Ka wu'uyik ooxol	SUBTYPE:INT	Ka wu'uyik wáaj ooxol
Maya0647	Ma' ta wu'uyik ooxoli'	SUBTYPE:INT	Ma' ta wu'uyik  wáaj ooxoli'
Maya0048	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_SI	Teche' áak'ab ka bin tu k'íiwikil koonol
Maya0049	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:3_SI	Leti'e' áak'ab ku bin tu k'íiwikil koonol
Maya0050	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:1_PL	To'one' áak'ab k bin tu k'íiwikil koonol
Maya0051	Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_PL	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol
Maya0045	Ma' jach k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'
Maya0046	Ma' jach k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'
Maya0047	Ma' jach k'a'abéet wáaj in bin k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'
Maya0027	Tene' ajkoonolen	PERSON:3_SI	Leti'e' ajkoonol
Maya0028	Tene' ajkoonolen	PERSON:2_SI	Teche' ajkoonolech
Maya0029	Tene' ajkoonolen	PERSON:1_PL	To'one' ajkoonolo'on
Maya0030	Tene' ajkoonolen	PERSON:2_PL	Te'exe' ajkoonole'ex
Maya0118	Jach wáaj k'a'abéet in bin merkaado	TYPE:NEG	Ma' wáaj jach k'a'abéet in bin merkaadoi'
Maya0584	Mix teen kajakbalen ta wotoch	PERSON:2_SI	Mix teech kajakbalech ta wotoch
Maya0585	Mix teen kajakbalen ta wotoch	PERSON:3_SI	Mix leti' kajakbal ta wotoch
Maya0586	Mix teen kajakbalen ta wotoch	PERSON:1_PL	Mix to'on kajakbalo'on ta wotoch
Maya0587	Mix teen kajakbalen ta wotoch	PERSON:2_PL	Mix te'ex kajakbale'ex ta wotoch
Maya0588	Mix teen kajakbalen ta wotoch	PERSON:3_PL	Mix leti'ob kajakbalo'ob ta wotoch
Maya0648	Ma' ta wu'uyike'ex ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Te'exe' ka wu'uyike'ex wáaj ooxol
Maya0649a	Ma' ta wu'uyike'ex wáaj ooxoli'	TYPE:AFF	Te'exe' ka wu'uyike'ex wáaj ooxol
Maya0649	Ma' ta wu'uyike'ex ooxoli'	SUBTYPE:INT	Ma' ta wu'uyike'ex wáaj ooxoli'
Maya0090	Táan in bin koonol merkaado	PERSON:2_SI	Táan a bin koonol merkaado
Maya0091	Táan in bin koonol merkaado	PERSON:3_SI	Táan u bin koonol merkaado
Maya0092	Táan in bin koonol merkaado	PERSON:3_PL	Táan u bino'ob koonol merkaado
Maya0093	Táan in bin koonol merkaado	PERSON:2_PL	Táan a bine'ex koonol merkaado
Maya0094	Táan in bin koonol merkaado	PERSON:1_PL	Táan k bin koonol merkaado
Maya0616	Táan u bin tu kool	TYPE:NEG	Ma' táan u bin ich kooli'
Maya0617	Táan u bin tu kool	SUBTYPE:INT	Táan wáaj u bin ich kool
Maya0645	Táan a báaxale'ex báaxal tu naajil báaxal	SUBTYPE:INT	Táan wáaj a xooke'ex xook tu naajil xook
Maya0483	Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_SI	Ma' ta wilaj u sáastal ta kaajali'
Maya0484	Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_SI	Ma' tu yilaj u sáastal tu kaajali'
Maya0485	Ma' tin wilaj u sáastal tin kaajali'	PERSON:1_PL	Ma' tak ilaj u sáastal k kaajali'
Maya0486	Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_PL	Ma' tu yilo'ob u sáastal tu kaajalo'obi'
Maya0487	Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_PL	Ma' ta wile'ex u sáastal ta kaajale'exi'
Maya0112	Jach k'a'abéet in bin tu k'íiwikil koonol	TYPE:NEG	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'
Maya0113	Jach k'a'abéet in bin tu k'íiwikil koonol	SUBTYPE:INT	Jach wáaj k'a'abéet in bin k'íiwikil koonol
Maya0407	Yaan in boon tu naajil xook	PERSON:2_SI	Yaan a boon tu naajil xook
Maya0408	Yaan in boon tu naajil xook	PERSON:3_SI	Yaan u boon tu naajil xook
Maya0409	Yaan in boon tu naajil xook	PERSON:1_PL	Yaan k boon tu naajil xook
Maya0410	Yaan in boon tu naajil xook	PERSON:2_PL	Yaan a boone'ex tu naajil xook
Maya0411	Yaan in boon tu naajil xook	PERSON:3_PL	Yaan u boono'ob tu naajil xook
Maya0223	Jweenen merkaado	PERSON:3_PL	Jweeno'ob merkaado
Maya0224	Jweenen merkaado	PERSON:2_PL	Jweene'ex merkaado
Maya0523	Ma' in wa'alik u k'aaba'	PERSON:3_SI	Ma' u ya'alik u k'aaba'
Maya0524	Ma' in wa'alik u k'aaba'i'	PERSON:1_PL	Ma' k a'alik u k'aaba'i'
Maya0525	Ma' in wa'alik u k'aaba'	PERSON:2_PL	Ma' a wa'alike'ex u k'aaba'
Maya0526	Ma' in wa'alik u k'aaba'	PERSON:3_PL	Ma' u ya'aliko'ob u k'aaba'
Maya0136	To'one' áak'ab k bin tu k'íiwikil koonol	SUBTYPE:INT	To'one' áak'ab wáaj k bin tu k'íiwikil koonol
Maya0137	To'one' áak'ab k bin tu k'íiwikil koonol	"TYPE:NEG, SUBTYPE:INT"	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'
Maya0137a	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	TYPE:NEG	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'
Maya0434	Tene' yaan ten meyaj biología	PERSON:2_SI	Teche' yaan tech meyaj biología
Maya0435	Tene' yaan ten meyaj biología	PERSON:3_SI	Leti'e' yaan meyaj biología
Maya0436	Tene' yaan ten meyaj biología	PERSON:1_PL	To'one' yaanto'on meyaj biología
Maya0437	Tene' yaan ten meyaj biología	PERSON:2_PL	Te'exe' yaan te'ex meyaj biología
Maya0233	Tene' bin áalkab te' taam paarkéeo'	PERSON:3_SI	Leti'e' bin áalkab te' taam paarkéeo'
Maya0234	Jbinen áalkab te' taam paarkéeo'	PERSON:2_PL	Te'exe' bine'ex áalkab te' taam paarkéeo'
